Name,Handedness,Height,Weight,Avg,HR
Rick Bosetti,Right,71,185,0.25,17
Ron Pruitt,Right,72,185,0.269,12
George Foster,Right,73,180,0.274,348
Jerry White,Both,70,164,0.253,21
Angel Mangual,Right,70,178,0.245,22
Ken Gerhart,Right,72,190,0.221,24
Mike Hershberger,Right,70,175,0.252,26
Jim French,Left,68,180,0.196,5
Dave Roberts,Left,75,195,0.194,7
Jim Mason,Left,74,185,0.203,12
Mike Smith,Right,75,180,0,0
Willie Smith,Left,72,182,0.248,46
T.R. Bryden,Right,76,190,0,0
Jose Arcia,Right,75,170,0.215,1
Leon Durham,Left,73,185,0.277,147
Tom Makowski,Right,71,185,0,0
Paul Householder,Both,72,180,0.236,29
Aurelio Rodriguez,Right,70,180,0.237,124
Jimmy Stewart,Both,72,165,0.237,8
Dick Phillips,Left,72,180,0.229,12
Andres Thomas,Right,73,170,0.234,42
Ed Crosby,Left,74,175,0.22,0
Mike de la Hoz,Right,71,175,0.251,25
Frank Taveras,Right,72,155,0.255,2
Joe Nossek,Right,72,178,0.228,3
Larry Stahl,Left,72,175,0.232,36
Jose Cruz,Left,72,170,0.284,165
Don Mason,Left,71,160,0.205,3
Bill Robinson,Right,74,189,0.258,166
Jim Umbarger,Left,78,200,0,0
Sal Bando,Right,72,195,0.254,242
George Mitterwald,Right,74,195,0.236,76
Mike Darr,Right,76,190,0,0
Craig Robinson,Right,70,165,0.219,0
Bob Tillman,Right,76,205,0.232,79
Curt Wardle,Left,77,220,0,0
Pat Corrales,Right,72,180,0.216,4
Mike Tyson,Right,69,170,0.241,27
Rafael Landestoy,Both,70,165,0.237,4
Duane Josephson,Right,72,190,0.258,23
Duane Walker,Left,72,185,0.229,24
Glenn Hubbard,Right,69,150,0.244,70
Roger Freed,Right,72,190,0.245,22
George Hendrick,Right,75,195,0.278,267
Rod Carew,Left,72,170,0.328,92
Bob Davis,Right,72,180,0.197,6
Toby Harrah,Right,72,175,0.264,195
Rick Manning,Left,73,180,0.257,56
Israel Sanchez,Left,69,170,0,0
Steve Burke,Both,74,200,0,0
Gary Matthews,Right,74,185,0.281,234
Cesar Geronimo,Left,72,165,0.258,51
Billy Bryan,Left,76,200,0.216,41
Terry Taylor,Right,73,180,0,0
Terry Whitfield,Left,73,197,0.281,33
Mario Mendoza,Right,71,170,0.215,4
Fred Lynn,Left,73,185,0.283,306
Larry Hisle,Right,74,193,0.273,166
Graig Nettles,Left,72,180,0.248,390
Randy Nosek,Right,76,215,0,0
Dave Engle,Right,75,210,0.262,31
Narciso Elvira,Left,70,160,0,0
Mike Easler,Left,72,190,0.293,118
Mark Smith,Right,74,215,0,0
Paul Mitchell,Right,73,195,0,0
Rick Sweet,Both,73,200,0.234,6
Thurman Munson,Right,71,190,0.292,113
Rick Monday,Left,75,193,0.264,241
Mike Sadek,Right,69,165,0.226,5
Mark Belanger,Right,73,170,0.228,20
Ron Hunt,Right,72,186,0.273,39
Joe Keough,Left,72,185,0.246,9
Butch Edge,Right,75,203,0,0
Vic Correll,Right,70,185,0.229,29
Jackie Hernandez,Right,71,165,0.208,12
Tony Solaita,Left,72,210,0.255,50
U L Washington,Both,71,175,0.251,27
Gary Mielke,Right,75,185,0,0
Rick Henninger,Right,78,225,0,0
Joe Foy,Right,72,215,0.248,58
Ed Goodson,Left,75,180,0.26,30
Mark Brown,Both,74,190,0,0
Mickey Klutts,Right,71,170,0.241,14
Leroy Stanton,Right,73,195,0.244,77
Rafael Vasquez,Right,72,160,0,0
Len Whitehouse,Left,71,175,0,0
Danny Ainge,Right,76,175,0.22,2
Adolfo Phillips,Right,73,175,0.247,59
Marv Breeding,Right,72,175,0.25,7
Steve Adkins,Right,78,210,0,0
Dick McAuliffe,Left,71,176,0.247,197
Joe Horlen,Right,72,170,0.134,0
Glenn Burke,Right,72,195,0.237,2
Tony Mack,Right,70,177,0,0
Terry Humphrey,Right,75,185,0.211,6
Bill Moran,Right,76,210,0,0
Enzo Hernandez,Right,68,155,0.224,2
Cesar Gutierrez,Right,69,155,0.235,0
Coco Laboy,Right,70,165,0.233,28
Ted Kubiak,Both,72,175,0.231,13
Jim Morrison,Right,71,175,0.26,112
Tom Gilles,Right,73,185,0,0
Bobby Knoop,Right,73,170,0.236,56
Bobby Brown,Both,74,190,0.245,26
Tom Hutton,Left,71,180,0.248,22
Ron Hodges,Left,73,185,0.24,19
Rich Chiles,Left,71,170,0.254,6
Tom Paciorek,Right,76,215,0.282,86
Gary Woods,Right,74,185,0.243,13
Bob Montgomery,Right,73,195,0.258,23
Jeff Burroughs,Right,73,200,0.261,240
Rusty Staub,Left,74,190,0.279,292
Jim Norris,Left,70,175,0.264,7
Oscar Gamble,Left,71,160,0.265,200
Bob Kammeyer,Right,76,210,0,0
George Vukovich,Left,72,198,0.268,27
Joe Pactwa,Left,71,185,0,0
Craig Reynolds,Left,73,175,0.256,42
Paul Blair,Right,72,168,0.25,134
Al Cowens,Right,73,197,0.27,108
Al Oliver,Left,72,195,0.303,219
Dave Hilton,Right,71,191,0.213,6
Luis Alvarado,Right,69,162,0.214,5
Larry Parrish,Right,75,190,0.263,256
Woodie Fryman,Right,75,197,0.138,2
Bob Randall,Right,74,175,0.257,1
Jim Pankovits,Right,70,170,0.25,9
Sherman Corbett,Left,76,205,0,0
Carmen Fanzone,Right,72,200,0.224,20
Gary Allenson,Right,71,185,0.221,19
Milt May,Left,72,190,0.263,77
Mike Vail,Right,73,180,0.279,34
Nick Esasky,Right,75,200,0.25,122
Jim Nettles,Left,72,186,0.22,16
Lafayette Currence,Both,71,175,0,0
Chris Cannizzaro,Right,72,190,0.235,18
Larry Biittner,Left,74,205,0.273,29
John Pawlowski,Right,74,175,0,0
Mel Stottlemyre,Right,73,178,0.16,7
Jack Hardy,Right,74,175,0,0
Ron Musselman,Right,74,185,0,0
Roy Smalley,Both,73,185,0.257,163
Tony Chevez,Right,71,177,0,0
Andy Messersmith,Right,73,200,0.17,5
Richie Zisk,Right,73,200,0.287,207
Dave Chalk,Right,70,175,0.252,15
Don Baylor,Right,73,190,0.26,338
John Vukovich,Right,73,187,0.161,6
Danny Thompson,Right,72,183,0.248,15
Joe Simpson,Left,75,175,0.242,9
Bill Fahey,Left,72,200,0.241,7
Doug Camilli,Right,71,195,0.199,18
Bernie Allen,Left,72,175,0.239,73
Bruce Bochy,Right,75,205,0.239,26
Gary Ignasiak,Right,71,185,0,0
Claudell Washington,Left,72,190,0.278,164
John Donaldson,Left,71,160,0.238,4
Mike Smithson,Left,80,215,0,0
John Mayberry,Left,75,215,0.253,255
Ken Reitz,Right,72,180,0.26,68
Amos Otis,Right,71,165,0.277,193
Gene Alley,Right,70,160,0.254,55
Ted Sizemore,Right,70,165,0.262,23
Dan Briggs,Left,72,180,0.195,12
Joe Skalski,Right,75,190,0,0
Doug Flynn,Right,71,165,0.238,7
Bert Bradley,Both,73,190,0,0
Ken Holtzman,Right,74,175,0.163,2
Pete Ward,Left,73,185,0.254,98
Kevin Bell,Right,72,195,0.222,13
Tom Nieto,Right,73,193,0.205,5
Duke Sims,Left,74,197,0.239,100
Larvell Blanks,Right,68,167,0.253,20
Francisco Barrios,Right,71,155,0,0
Mike Davis,Left,74,175,0.259,91
Jerry Reuss,Left,77,200,0.167,1
Steve Yeager,Right,72,190,0.228,102
Danny Goodwin,Left,73,195,0.236,13
Bud Harrelson,Both,71,160,0.236,7
Bob Knepper,Left,75,195,0.137,6
Mickey Rivers,Left,70,165,0.295,61
Jim Northrup,Left,75,190,0.267,153
John Hale,Left,74,195,0.201,14
Reggie Ritter,Left,74,195,0,0
Pedro Garcia,Right,70,175,0.22,37
Carl Yastrzemski,Left,71,175,0.285,452
Bob Babcock,Right,77,210,0,0
Craig Eaton,Right,71,175,0,0
Derrel Thomas,Both,72,160,0.249,43
Art Howe,Right,74,190,0.26,43
Ike Brown,Right,72,190,0.256,20
Howie Goss,Right,76,204,0.216,11
Glenn Borgmann,Right,76,210,0.229,16
Lamar Johnson,Right,74,215,0.287,64
Julio Gonzalez,Right,71,162,0.235,4
Bobby Klaus,Right,70,170,0.208,6
Manny Sanguillen,Right,72,193,0.296,65
Gates Brown,Left,71,220,0.257,84
Johnny Ray,Both,71,170,0.29,53
Jesus Alou,Right,74,190,0.28,32
Ken Landreaux,Left,70,165,0.268,91
Enos Cabell,Right,76,170,0.277,60
Roy Branch,Right,72,175,0,0
Billy North,Both,71,185,0.261,20
Juan Beniquez,Right,71,150,0.274,79
Frank Fernandez,Right,72,185,0.199,39
Bombo Rivera,Right,70,187,0.265,10
Steve Brye,Right,72,190,0.258,30
Ron Jackson,Right,72,200,0.259,56
Roger Metzger,Both,72,165,0.231,5
Rufino Linares,Right,72,170,0.27,11
Ray Webster,Left,72,185,0.244,17
Bob Kearney,Right,72,190,0.233,27
Fergie Jenkins,Right,77,205,0.165,13
Dick Dietz,Right,73,195,0.261,66
Ted Cox,Right,75,195,0.245,10
Bobby Mitchell,Left,70,170,0.243,3
Bobby Mitchell,Right,75,185,0.235,21
Barry Evans,Right,73,180,0.251,2
Mickey Brantley,Right,70,180,0.259,32
Al Gallagher,Right,72,180,0.263,11
Rob Woodward,Right,75,185,0,0
Hector Cruz,Right,71,170,0.225,39
Fred Norman,Both,68,155,0.125,0
Woody Woodward,Right,74,180,0.236,1
Ted Martinez,Right,72,165,0.24,7
Jim Anderson,Right,72,170,0.218,13
Lenn Sakata,Right,69,160,0.23,25
Dave Duncan,Right,74,190,0.214,109
Randy Jones,Right,72,178,0.132,0
Dick Billings,Right,73,195,0.227,16
Bob Veselic,Right,72,175,0,0
Bruce Bochte,Left,75,195,0.282,100
Bernie Carbo,Left,71,173,0.264,96
Vic Davalillo,Left,67,150,0.279,36
Burt Hooton,Right,73,210,0.123,4
Chuck Hockenbery,Both,73,195,0,0
Bob Ferris,Right,78,225,0,0
Fernando Gonzalez,Right,70,165,0.235,17
Jim Sundberg,Right,72,190,0.248,95
Andy Kosco,Right,75,205,0.236,73
Steve Huntz,Both,73,204,0.206,16
Gary Wheelock,Right,75,205,0,0
Lenny Faedo,Right,72,170,0.251,5
John Lowenstein,Left,72,175,0.253,116
Don Kessinger,Both,73,170,0.252,14
Joe Hague,Left,72,195,0.239,40
Bake McBride,Left,74,190,0.299,63
Dick Davis,Right,75,190,0.265,27
Richie Scheinblum,Both,73,180,0.263,13
Ed Herrmann,Left,73,195,0.24,80
Mike Rochford,Left,76,205,0,0
Jeff Schneider,Both,75,195,0,0
Bob Molinaro,Left,72,190,0.264,14
Mike Hegan,Left,73,188,0.242,53
Mike Diaz,Right,74,195,0.247,31
Tim Foli,Right,72,179,0.251,25
Alan Knicely,Right,72,190,0.213,12
Tim Laudner,Right,75,212,0.225,77
Jose Morales,Right,71,187,0.287,26
Luis Encarnacion,Right,70,178,0,0
Rick Kreuger,Right,74,185,0,0
Juan Marichal,Right,72,185,0.165,4
Vida Blue,Both,72,189,0.104,4
Angel Moreno,Left,69,165,0,0
Roger Weaver,Right,75,190,0,0
Stan Papi,Right,72,170,0.218,7
Rob Wilfong,Left,73,180,0.248,39
Chris Knapp,Right,77,195,0,0
Steve Henderson,Right,74,190,0.28,68
Rob Picciolo,Right,74,185,0.234,17
Don Welchel,Right,76,205,0,0
Randy Wiles,Left,73,185,0,0
Roberto Pena,Right,68,170,0.245,13
Bob Dernier,Right,72,160,0.255,23
Bill Melton,Right,74,200,0.253,160
Albert Hall,Both,71,155,0.251,5
Barbaro Garbey,Right,70,170,0.267,11
John Milner,Left,72,185,0.249,131
Rich Reese,Left,75,185,0.253,52
Chris Bando,Both,72,195,0.227,27
Bill Buckner,Left,72,185,0.289,174
Jack Hiatt,Right,74,190,0.251,22
Nelson Mathews,Right,76,195,0.223,22
Larry Lintz,Both,69,150,0.227,0
Ron Theobald,Right,68,165,0.248,2
Dewey Robinson,Right,72,180,0,0
Rafael Santana,Right,73,165,0.246,13
Jerry Hairston,Both,70,170,0.258,30
Tony Arnold,Right,71,170,0,0
Jeff Schattinger,Left,77,200,0,0
Ike Brookens,Right,77,170,0,0
Tommie Aaron,Right,75,190,0.229,13
Steve Dillard,Right,73,180,0.243,13
Win Remmerswaal,Right,74,160,0,0
Jeff Peterek,Right,74,195,0,0
George Scott,Right,74,200,0.268,271
Jeff Shaver,Right,75,195,0,0
Ken Walters,Right,73,180,0.231,11
Gorman Thomas,Right,74,210,0.225,268
Paul Dade,Right,73,185,0.27,10
Darrell Porter,Left,72,193,0.247,188
Tim Johnson,Left,73,170,0.223,0
Fred Stanley,Right,70,165,0.216,10
Larry Bowa,Both,70,155,0.26,15
Tim Corcoran,Left,71,175,0.27,12
Jim Spencer,Left,74,195,0.25,146
Pete LaCock,Left,74,200,0.257,27
Carl Morton,Right,72,200,0.156,7
Gary Gray,Right,72,187,0.24,24
Matty Alou,Left,69,160,0.307,31
Pete Filson,Both,74,195,0,0
Jim Dwyer,Left,70,165,0.26,77
Dalton Jones,Left,73,180,0.235,41
Rennie Stennett,Right,71,160,0.274,41
Jim Gideon,Right,75,190,0,0
Jerry May,Right,74,190,0.234,15
Rich McKinney,Right,71,185,0.225,20
Clint Hurdle,Left,75,195,0.259,32
Mike Andrews,Right,75,195,0.258,66
Bobby Clark,Right,72,190,0.239,19
Jeff Twitty,Left,74,185,0,0
Cliff Johnson,Right,76,215,0.258,196
Steve Cummings,Both,74,200,0,0
Donn Clendenon,Right,76,209,0.274,159
Charlie James,Right,73,195,0.255,29
Bob Horner,Right,73,195,0.277,218
Tom Veryzer,Right,73,175,0.241,14
Jose Cecena,Right,71,180,0,0
George Smith,Right,70,170,0.205,9
Jim Essian,Right,74,195,0.244,33
Onix Concepcion,Right,66,160,0.239,3
Boots Day,Left,69,160,0.256,8
Brian Giles,Right,73,165,0.228,10
Garry Maddox,Right,75,175,0.285,117
Alex Trevino,Right,70,165,0.249,23
Jim Price,Right,72,192,0.214,18
Felix Millan,Right,71,172,0.279,22
Steve Garvey,Right,70,192,0.294,272
Don Mincher,Left,75,205,0.249,200
Greg Erardi,Right,73,190,0,0
Jim Farr,Right,73,195,0,0
Tony Cloninger,Right,72,210,0.192,11
Jim Gosger,Left,71,185,0.226,30
Chuck Harrison,Right,70,185,0.238,17
Mike Ivie,Right,75,205,0.269,81
Frank Dimichele,Right,75,205,0,0
Bob Veale,Both,78,212,0.114,0
Marvell Wynne,Left,71,175,0.247,40
Dusty Baker,Right,74,183,0.278,242
Tucker Ashford,Right,73,195,0.218,6
Ned Yost,Right,73,190,0.212,16
Bob Stinson,Both,71,180,0.25,33
Mike Warren,Right,73,175,0,0
Gaylord Perry,Right,76,205,0.131,6
Dave Marshall,Left,73,182,0.246,16
Mickey Hatcher,Right,74,200,0.28,38
Roger Repoz,Left,75,190,0.224,82
Bill Fulton,Right,75,195,0,0
John Orsino,Right,75,215,0.249,40
Larry Anderson,Right,75,190,0,0
Johnny Briggs,Left,73,190,0.253,139
Craig Mitchell,Right,75,180,0,0
Dave Hostetler,Right,76,215,0.229,37
Bob Jones,Left,74,195,0.221,20
Keith Hernandez,Left,72,180,0.296,162
Alfredo Martinez,Right,75,185,0,0
Dean Chance,Right,75,200,0.066,0
Willie Upshaw,Left,72,185,0.262,123
Dick Green,Right,70,180,0.24,80
Dane Iorg,Left,72,180,0.276,14
Richie Hebner,Left,73,195,0.276,203
Fran Healy,Right,77,220,0.25,20
Doc Edwards,Right,74,215,0.238,15
Sandy Alomar,Both,69,140,0.245,13
Joe Strain,Right,70,169,0.25,1
Gene Richards,Left,72,175,0.29,26
Buddy Bell,Right,73,180,0.279,201
Al Woods,Left,75,190,0.271,35
Rudy Law,Left,73,165,0.271,18
Joel Davis,Left,77,205,0,0
Jody Davis,Right,76,192,0.245,127
Mike Edwards,Right,70,154,0.25,2
Bill Mooneyham,Right,72,175,0,0
John Hobbs,Right,75,190,0,0
Deron Johnson,Right,74,200,0.244,245
John Denny,Right,75,185,0.17,0
Don Wert,Right,70,162,0.242,77
Mike Fiore,Left,72,175,0.227,13
Miguel Dilone,Both,72,160,0.265,6
Greg Luzinski,Right,73,220,0.276,307
Bobby Tolan,Left,71,170,0.265,86
Karl Best,Right,76,190,0,0
Steve Barr,Left,76,200,0,0
Ron Woods,Right,70,168,0.233,26
Tony Horton,Right,75,210,0.268,76
Randy Hundley,Right,71,170,0.236,82
Jose Tartabull,Left,71,165,0.261,2
Ben Oglivie,Left,74,160,0.273,235
Luis Sanchez,Right,74,170,0,0
Bob Johnson,Right,70,175,0.272,44
Don Buford,Both,67,160,0.264,93
Duane Kuiper,Left,72,175,0.271,1
Brant Alyea,Right,75,215,0.247,38
Jerry Narron,Left,75,205,0.211,21
Lou Johnson,Right,71,170,0.258,48
Ken Retzer,Left,72,185,0.264,14
Mike Brown,Right,74,195,0.265,23
Mike Brown,Right,74,195,0,0
Greg Walker,Left,75,205,0.26,113
Terry Harper,Right,76,195,0.253,36
Jerry Royster,Right,72,165,0.249,40
Steve Davis,Left,73,195,0,0
Jeff Rineer,Left,76,205,0,0
Barry Bonnell,Right,75,190,0.272,56
Tom Seaver,Right,73,195,0.154,12
Jerry Martin,Right,73,195,0.251,85
Bill Stein,Right,70,170,0.267,44
Joel Youngblood,Right,72,180,0.265,80
Reggie Jackson,Left,72,195,0.262,563
Sonny Jackson,Left,69,150,0.251,7
Mark Mercer,Left,77,220,0,0
Rodney Scott,Both,72,160,0.236,3
Rich Coggins,Left,68,170,0.265,12
Phil Gagliano,Right,73,180,0.238,14
Jerry McNertney,Right,72,180,0.237,27
Mitchell Page,Left,74,205,0.266,72
Kiko Garcia,Right,71,180,0.239,12
Larry Milbourne,Both,72,161,0.254,11
Bill Sudakis,Both,73,190,0.234,59
John Caneira,Right,75,180,0,0
Domingo Ramos,Right,70,154,0.24,8
Ron Oester,Both,74,185,0.265,42
Glenn Adams,Left,73,180,0.28,34
Clint Zavaras,Right,73,175,0,0
Joe Morgan,Left,67,160,0.271,268
R.J. Reynolds,Both,72,190,0.267,35
